data_referencia,2020-08-15,2021-05-15,2022-08-15,2023-03-15,2023-05-15,2024-08-15,2025-05-15,2026-08-15,2027-05-15,2028-08-15,2029-05-15,2030-08-15,2031-05-15,2032-08-15,2033-05-15,2035-05-15,2037-05-15,2040-08-15,2045-05-15,2050-08-15,2055-05-15,2060-08-15
2020-01-02,0.1222,0.6974,1.63,1.86,1.86,2.27,,2.67,,2.87,,3.0749,,,,3.24,,3.3955,3.4894,3.49,3.4854,
2020-01-03,0.23,0.7108,1.63,1.878,1.8799,2.2857,,2.7,,2.9,,3.0899,,,,3.2573,,3.4245,3.5266,3.53,3.526,
2020-01-06,0.2546,0.7373,1.66,1.9195,1.92,2.34,,2.75,,2.95,,3.1492,,,,3.307,,3.4816,3.5955,3.6,3.5977,
2020-01-07,0.4391,0.77,1.64,1.91,1.91,2.3356,,2.74,,2.94,,3.15,,,,3.31,,3.48,3.5991,3.6,3.6,
2020-01-08,0.56,0.81,1.63,1.8935,1.8935,2.32,,2.7248,,2.92,,3.12,,,,3.29,,3.46,3.5643,3.57,3.57,
2020-01-09,0.6444,0.87,1.6409,1.908,1.91,2.32,2.5268,2.69,,2.91,,3.09,,,,3.29,,3.45,3.5481,3.55,3.55,
2020-01-10,0.7834,0.924,1.7074,1.9521,1.9516,2.3367,2.5303,2.695,,2.9027,,3.08,,,,3.28,,3.4439,3.549,3.5511,3.55,
2020-01-13,0.9896,1.02,1.77,2.0156,2.015,2.402,2.5892,2.751,,2.96,,3.1271,,,,3.3275,,3.4777,3.5732,3.57,3.57,
2020-01-14,1.04,0.98,1.74,1.9828,1.9838,2.371,2.54,2.71,,2.92,,3.09,,,,3.29,,3.44,3.532,3.5322,3.5309,
2020-01-15,1.01,0.93,1.6649,1.92,1.92,2.32,2.4824,2.6833,,2.9,,3.08,,,,3.29,,3.45,3.5432,3.55,3.55,
2020-01-16,1.05,0.98,1.7053,1.9775,1.98,2.3777,2.532,2.7324,,2.9486,,3.1328,,,,3.3344,,3.4863,3.5717,3.5704,3.5731,
2020-01-17,1.046,0.98,1.6428,1.93,1.93,2.35,2.52,2.73,,2.9308,,3.13,,,,3.3206,,3.4753,3.54,3.5383,3.5536,
2020-01-20,1.0744,1.02,1.6773,1.96,1.96,2.3789,2.57,2.77,,2.97,,3.1675,,,,3.3657,,3.51,3.5638,3.5644,3.57,
2020-01-21,1.2167,1.08,1.7,1.97,1.97,2.4,2.5933,2.79,,2.98,,3.1746,,,,3.37,,3.518,3.5667,3.5674,3.5723,
2020-01-22,1.2168,1.0,1.61,1.9,1.9,2.335,2.54,2.73,,2.93,,3.11,,,,3.32,,3.468,3.533,3.54,3.5429,
2020-01-23,1.13,0.9866,1.6029,1.8898,1.89,2.3342,2.54,2.73,,2.9276,,3.1089,,,,3.32,,3.4772,3.5432,3.55,3.5508,
2020-01-24,1.1251,0.96,1.61,1.89,1.89,2.34,2.55,2.7174,,2.8958,,3.09,,,,3.2985,,3.4588,3.5358,3.5444,3.5514,
2020-01-27,1.2256,0.97,1.59,1.8835,1.8831,2.3267,2.5451,2.7137,,2.9,,3.1,,,,3.3087,,3.48,3.56,3.57,3.5741,
2020-01-28,1.32,1.03,1.6247,1.9,1.9,2.31,2.5226,2.68,,2.87,,3.0537,,,,3.2787,,3.4555,3.543,3.55,3.5532,
2020-01-29,1.4453,1.06,1.64,1.887,1.8873,2.26,2.48,2.6331,,2.8211,,3.02,,,,3.24,,3.43,3.5233,3.53,3.5332,
2020-01-30,1.4859,1.103,1.6753,1.9,1.9,2.2833,2.4999,2.65,,2.83,,3.03,,,,3.251,,3.45,3.54,3.55,3.55,
2020-01-31,1.4751,1.1,1.7,1.9098,1.91,2.2926,2.53,2.67,,2.84,,3.0554,,,,3.27,,3.4764,3.562,3.57,3.57,
2020-02-03,1.4608,1.0633,1.68,1.8896,1.89,2.28,2.51,2.6423,,2.8214,,3.0448,,,,3.2536,,3.4673,3.5378,3.54,3.54,
2020-02-04,1.4271,1.0451,1.6874,1.8833,1.8837,2.26,2.48,2.6133,,2.8028,,3.0192,,,,3.2318,,3.4495,3.53,3.5308,3.5309,
2020-02-05,1.3478,1.06,1.6845,1.8718,1.8717,2.2266,2.437,2.5664,,2.76,,2.97,,,,3.1844,,3.4042,3.49,3.49,3.49,
2020-02-06,1.432,1.1,1.7851,1.97,1.97,2.3,2.48,2.61,,2.81,,2.99,,,,3.212,,3.4122,3.4838,3.4912,3.4927,
2020-02-07,1.4048,1.08,1.78,1.9966,1.9994,2.33,2.5,2.6342,,2.8373,,3.014,,,,3.23,,3.4236,3.49,3.4863,3.4929,
2020-02-10,1.378,1.07,1.76,1.97,1.97,2.2976,2.4648,2.5909,,2.8,,2.97,,,,3.19,,3.38,3.45,3.45,3.4568,
2020-02-11,1.348,1.0345,1.72,1.9209,1.9206,2.25,2.42,2.55,,2.7538,,2.93,,,,3.1593,,3.35,3.42,3.4164,3.4228,
2020-02-12,1.2725,0.95,1.65,1.8535,1.8532,2.19,2.3546,2.5,,2.7,,2.8787,,,,3.12,,3.322,3.39,3.39,3.3971,
2020-02-13,1.2367,0.92,1.62,1.8396,1.84,2.1941,2.3604,2.52,,2.71,,2.8974,,,,3.14,,3.3414,3.4125,3.4122,3.4189,
2020-02-14,1.2128,0.89,1.52,1.7126,1.7125,2.0931,2.2772,2.4275,,2.63,,2.825,,,,3.07,,3.2704,3.3518,3.3532,3.3604,
2020-02-17,1.22,0.89,1.52,1.73,1.73,2.12,2.32,2.4656,,2.665,,2.8681,,,,3.1,,3.3099,3.3837,3.3827,3.3923,
2020-02-18,1.2566,0.91,1.52,1.74,1.74,2.16,2.34,2.5,,2.7,,2.8858,,,,3.11,,3.3134,3.3853,3.3846,3.3917,
2020-02-19,1.1781,0.8331,1.4455,1.6575,1.6571,2.0999,2.28,2.441,,2.6575,,2.8442,,,,3.069,,3.2928,3.3705,3.3728,3.3803,
2020-02-20,1.1402,0.82,1.45,1.6604,1.6623,2.1051,2.2841,2.46,,2.68,,2.86,,,,3.0921,,3.3004,3.4036,3.4171,3.4244,
2020-02-21,1.1844,0.82,1.46,1.7,1.7,2.13,2.31,2.5,,2.7279,,2.9163,,,,3.1429,,3.35,3.4543,3.4677,3.4731,
2020-02-26,1.24,0.8789,1.53,1.7784,1.7828,2.21,2.396,2.5897,,2.8156,,3.003,,,,3.23,,3.4388,3.5465,3.56,3.5655,
2020-02-27,1.2965,0.86,1.48,1.743,1.744,2.1823,2.38,2.5832,,2.8116,,3.0077,,,,3.2372,,3.4605,3.5753,3.586,3.5926,
2020-02-28,1.34,0.8522,1.4681,1.7187,1.72,2.1736,2.37,2.5689,,2.7951,,3.01,,,,3.232,,3.459,3.58,3.59,3.592,
2020-03-02,1.26,0.6557,1.2721,1.5021,1.5037,2.0,2.23,2.4532,,2.69,,2.922,,,,3.1602,,3.4,3.5,3.5157,3.5192,
2020-03-03,1.1625,0.5526,1.18,1.42,1.42,1.93,2.16,2.41,,2.6709,,2.9042,,,,3.15,,3.3932,3.4899,3.5036,3.5184,
2020-03-04,1.16,0.5252,1.1469,1.38,1.38,1.85,2.084,2.3465,,2.6339,,2.86,,,,3.1321,,3.3847,3.4846,3.4954,3.5105,
